Sr No.,Buyer Name,Total Credits Retired
381,GS1247 VPA 115 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,32512
382,GS1247 VPA 116 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,28958
383,GS1247 VPA 119 Zoba Debub Community Boreholes,31005
384,GS1247 VPA 12 Improved Kitchen Regimes: Shyara (Bugesera) Rwanda,48041
385,GS1247 VPA 120 Zoba Debub Community Boreholes,28717
386,GS1247 VPA 121 Zoba Debub Community Boreholes,24927
387,GS1247 VPA 122 Zoba Anseba Community Safe Water,24017
388,GS1247 VPA 123 Zoba Anseba Community Safe Water,22845
389,GS1247 VPA 124 Zoba Anseba Community Safe Water,22644
390,GS1247 VPA 125 Zoba Anseba Community Safe Water,27109
391,GS1247 VPA 126 Zoba Anseba Community Safe Water,25901
392,GS1247 VPA 127 Southern Ethiopia Community Boreholes,27727
393,GS1247 VPA 128 Southern Ethiopia Community Boreholes,24694
394,GS1247 VPA 129 Zoba Anseba Community Safe Water,10129
395,GS1247 VPA 13 Improved Kitchen Regimes MUSENYI (Bugesera) Rwanda,46351
396,GS1247 VPA 130 Zoba Anseba Community Safe Water,8087
397,GS1247 VPA 134 Zoba Maekel Community Boreholes,18834
398,GS1247 VPA 135 Zoba Maekel Community Boreholes,18547
399,GS1247 VPA 136 Zoba Maekel Community Boreholes,14623
400,GS1247 VPA 138 BioLite Improved Stove Programme Uganda,15661
401,GS1247 VPA 139 Lango Safe Water Project,17595
402,GS1247 VPA 14 Improved Kitchen Regimes NTARAMA (Bugesera) Rwanda,44634
403,GS1247 VPA 140 Lango Safe Water Project,15178
404,GS1247 VPA 141 Lango Safe Water Project,13622
405,GS1247 VPA 142 Manicaland Safe Water,13124
406,GS1247 VPA 143 Manicaland Safe Water,12702
407,GS1247 VPA 144 Manicaland Safe Water,13888
408,GS1247 VPA 145 Manicaland Safe Water,13598
409,GS1247 VPA 146 Manicaland Safe Water,14411
410,GS1247 VPA 147 Manicaland Safe Water,13768
411,GS1247 VPA 149 Southern Ethiopia Community Safe Water,19945
412,GS1247 VPA 15 Improved Kitchen Regimes NYAMATA (Bugesera) Rwanda,44629
413,GS1247 VPA 150 Southern Ethiopia Community Safe Water,20439
414,GS1247 VPA 151 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,27625
415,GS1247 VPA 152 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,25327
416,GS1247 VPA 153 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,24412
417,GS1247 VPA 154 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,17920
418,GS1247 VPA 155 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,29143
419,GS1247 VPA 156 Southern Ethiopia Community Protected Springs,22947
420,GS1247 VPA 157 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,25128
421,GS1247 VPA 158 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,21643
422,GS1247 VPA 159 Improved Kitchen Regimes Manica Province Safe Water (Mozambique) ,6699
423,GS1247 VPA 16 Improved Kitchen Regimes: Mwogo (Bugesera) Rwanda,46914
424,GS1247 VPA 160 Improved Kitchen Regimes Manica Province Safe Water (Mozambique) ,7109
425,GS1247 VPA 161 Improved Kitchen Regimes Manica Province Safe Water (Mozambique) ,17684
426,GS1247 VPA 162 Improved Kitchen Regimes Manica Province Safe Water (Mozambique) ,15071
427,GS1247 VPA 163 Improved Kitchen Regimes Manica Province Safe Water (Mozambique) ,10858
428,GS1247 VPA 164 EcoZoom Improved Stove Programme Uganda,36073
429,GS1247 VPA 165 Southern Ethiopia Community Safe Water,5174
430,GS1247 VPA 166 Southern Ethiopia Community Safe Water ,5308
431,GS1247 VPA 168 Southern Ethiopia Community Safe Water,5354
432,GS1247 VPA 169 Southern Ethiopia Community Safe Water ,9249
433,GS1247 VPA 17 Improved Kitchen Regimes Bugesera Rwanda,47240
434,GS1247 VPA 170 Southern Ethiopia Community Safe Water ,6359
435,GS1247 VPA 171 Southern Ethiopia Community Safe Water,4919
436,GS1247 VPA 172 Southern Ethiopia Efficient Cook Stoves ,31212
437,GS1247 VPA 176 Zoba Debub Community Boreholes,24146
438,GS1247 VPA 177 Zoba Debub Community Boreholes,22205
439,GS1247 VPA 178 Zoba Debub Community Boreholes,26242
440,GS1247 VPA 179 Zoba Debub Community Boreholes,22234
441,GS1247 VPA 18 Improved Kitchen Regimes Bugesera Rwanda,43005
442,GS1247 VPA 180 Zoba Debub Community Boreholes,20760
443,GS1247 VPA 181 Zoba Debub Community Boreholes,24757
444,GS1247 VPA 182 Zoba Debub Community Boreholes,24822
445,GS1247 VPA 183 Lango Safe Water Project,10036
446,GS1247 VPA 184 Lango Safe Water Project,12333
447,GS1247 VPA 185 Lango Safe Water Project,12197
448,GS1247 VPA 186 Lango Safe Water Project,11882
449,GS1247 VPA 187 Lango Safe Water Project,10761
450,GS1247 VPA 188 Southern Ethiopia Efficient Cook Stoves,26565
451,GS1247 VPA 19 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,46730
452,GS1247 VPA 190 Zambia Eastern Province Safe Water Project,2702
453,GS1247 VPA 191 Zambia Eastern Province Safe Water Project,1048
454,GS1247 VPA 192 Zambia Eastern Province Safe Water Project,1976
455,GS1247 VPA 193 Zambia Eastern Province Safe Water Project,6538
456,GS1247 VPA 194 Zambia Eastern Province Safe Water Project,1445
457,GS1247 VPA 198 Improved Kitchen Regimes Manica Province Safe Water (Mozambique),12396
458,GS1247 VPA 199 Improved Kitchen Regimes Manica Province Safe Water (Mozambique),11600
459,GS1247 VPA 2 Improved Kitchen Regimes: Kole District Borehole Project Uganda,70351
460,GS1247 VPA 20 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,44796
461,GS1247 VPA 200 Improved Kitchen Regimes Manica Province Safe Water (Mozambique),10245
462,GS1247 VPA 201 Improved Kitchen Regimes Manica Province Safe Water (Mozambique),8565
463,GS1247 VPA 202 Improved Kitchen Regimes Manica Province Safe Water (Mozambique),10146
464,GS1247 VPA 203 Sierra Leone Safe Water,15487
465,GS1247 VPA 204 Sierra Leone Safe Water,17062
466,GS1247 VPA 205 Sierra Leone Safe Water,17205
467,GS1247 VPA 206 Sierra Leone Safe Water,13623
468,GS1247 VPA 207 Sierra Leone Safe Water,13435
469,GS1247 VPA 208 Sierra Leone Safe Water,13045
470,GS1247 VPA 209 Sierra Leone Safe Water,7446
471,GS1247 VPA 21 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,41045
472,GS1247 VPA 210 Sierra Leone Safe Water,12540
473,GS1247 VPA 211 Sierra Leone Safe Water,12511
474,GS1247 VPA 212 Sierra Leone Safe Water,10602
475,GS1247 VPA 219 Central and Western Uganda Safe Water Project,8872
476,GS1247 VPA 22 Improved Kitchen Regimes: Gatsibo District Borehole Project Rwanda,30518
477,GS1247 VPA 220 Central and Western Uganda Safe Water Project,5193
478,GS1247 VPA 224 - The Gambia Safe Water,3880
479,GS1247 VPA 225 The Gambia Safe Water,3297
480,GS1247 VPA 226 The Gambia Safe Water,5952
481,GS1247 VPA 227 The Gambia Safe Water,9856
482,GS1247 VPA 228 The Gambia Safe Water,9816
483,GS1247 VPA 229 The Gambia Safe Water,12049
484,GS1247 VPA 23 Improved Kitchen Regimes : Improved Cook Stoves in Chamanculo C Maputo (Mozambique),19404
485,GS1247 VPA 24 Improved Kitchen Regimes - Dowa Boreholes Malawi,44191
486,GS1247 VPA 25 Improved Kitchen Regimes - Dowa Boreholes Malawi,59705
487,GS1247 VPA 256 Northern Ethiopia Community Safe Water,2419
488,GS1247 VPA 257 Northern Ethiopia Community Protected Springs,3780
489,GS1247 VPA 259 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,5617
490,GS1247 VPA 26 Improved Kitchen Regimes - Kasungu Boreholes Malawi,49330
491,GS1247 VPA 260 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,4470
492,GS1247 VPA 261 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,6635
493,GS1247 VPA 262 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,8007
494,GS1247 VPA 263 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,6702
495,GS1247 VPA 264 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,7909
496,GS1247 VPA 265 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,6097
497,GS1247 VPA 267 - Burkina Faso Safe Water,1100
498,GS1247 VPA 27 Improved Kitchen Regimes - Kasungu Boreholes Malawi,45927
499,GS1247 VPA 28 Improved Kitchen regimes: Improved stove in Zoba Anseba Eritrea,61626
500,GS1247 VPA 3 Otuke District Borehole Project,67301
501,GS1247 VPA 311 Guatemala Improved Cookstoves Project,1313
502,GS1247 VPA 33 Improved Kitchen Regimes : Kaliro Safe Water Project,52080
503,GS1247 VPA 34 Improved Kitchen Regimes: Kaliro Safe Water Project,52774
504,GS1247 VPA 35 Improved Kitchen Regimes: Kaliro Safe Water Project,44881
505,GS1247 VPA 36 Improved Kitchen Regimes - Dowa Boreholes Malawi,55191
506,GS1247 VPA 37 Improved Kitchen Regimes - Dowa Boreholes Malawi,52949
507,GS1247 VPA 38 Improved Kitchen Regimes: Bugesera Rwanda,49179
508,GS1247 VPA 39 Improved Kitchen Regimes: Bugesera Rwanda,46827
509,GS1247 VPA 4 Dokolo District Borehole Project,61029
510,GS1247 VPA 40 Improved Kitchen Regimes: Dissemination of improved stove in Zoba Anseba Eritrea 2,50636
511,GS1247 VPA 41 Gatsibo District Boreholes (GS4202),41660
512,GS1247 VPA 42  Gatsibo District Boreholes  (GS4203),40824
513,GS1247 VPA 43 Alebtong Dokolo Otuke District Boreholes,62823
514,GS1247 VPA 44 BioLite Improved Stove Programme Uganda,59467
515,GS1247 VPA 45 Eritrean District Boreholes,41281
516,GS1247 VPA 46 Eritrean District Boreholes,46646
517,GS1247 VPA 47 Eritrean District Boreholes,43143
518,GS1247 VPA 48 Eritrean District Boreholes,43425
519,GS1247 VPA 49 Improved Kitchen Regimes:Kaliro Safe Water Project,43361
520,GS1247 VPA 5 Alebtong District Borehole Project,66309
521,GS1247 VPA 52: Improved Cook Stoves in Chamanculo C Maputo (Mozambique) phase II,16158
522,GS1247 VPA 53: Improved Cook Stoves in Chamanculo C Maputo (Mozambique) phase III,13798
523,GS1247 VPA 54 Eritrean District Boreholes,41757
524,GS1247 VPA 55 Eritrean District Boreholes,43116
525,GS1247 VPA 56 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,40286
526,GS1247 VPA 57 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,40602
527,GS1247 VPA 58 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,40914
528,GS1247 VPA 59 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,40919
529,GS1247 VPA 60 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,40310
530,GS1247 VPA 61 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,33280
531,GS1247 VPA 62 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,34141
532,GS1247 VPA 63 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,33898
533,GS1247 VPA 64 Improved Kitchen Regimes: Kayonza District Borehole Project Rwanda,35387
534,GS1247 VPA 65 Zoba Debub Community Boreholes,27075
535,GS1247 VPA 66 Zoba Debub Community Boreholes,29308
536,GS1247 VPA 67 Zoba Debub Community Boreholes,32020
537,GS1247 VPA 68 Zoba Debub Community Boreholes,31719
538,GS1247 VPA 69 Zoba Debub Community Boreholes,29317
539,GS1247 VPA 7 Improved Kitchen Regimes: Kamabuye (Bugesera) Rwanda,43251
540,GS1247 VPA 70 Zoba Debub Community Boreholes,29828
541,GS1247 VPA 71 Lango Safe Water Project,33719
542,GS1247 VPA 72 Lango Safe Water Project,35125
543,GS1247 VPA 73 Lango Safe Water Project,34120
544,GS1247 VPA 74 Lango Safe Water Project,36422
545,GS1247 VPA 75 Lango Safe Water Project,28734
546,GS1247 VPA 76 Lango Safe Water Project,27206
547,GS1247 VPA 77 Lango Safe Water Project,30969
548,GS1247 VPA 78 Lango Safe Water Project,31572
549,GS1247 VPA 79 Lango Safe Water Project,29276
550,GS1247 VPA 8 Improved Kitchen Regimes: Ruhuha (Bugesera) Rwanda,51939
551,GS1247 VPA 80 Lango Safe Water Project,25766
552,GS1247 VPA 81 Lango Safe Water Project,9247
553,GS1247 VPA 82 Lango Safe Water Project,16458
554,GS1247 VPA 83 Lango Safe Water Project,20752
555,GS1247 VPA 84 Zoba Maekel Community Boreholes,35496
556,GS1247 VPA 85 Zoba Maekel Community Boreholes,33455
557,GS1247 VPA 86 Southern Ethiopia Community Boreholes,28434
558,GS1247 VPA 87 Southern Ethiopia Community Boreholes,27964
559,GS1247 VPA 88 Southern Ethiopia Community Boreholes,26570
560,GS1247 VPA 89 Southern Ethiopia Efficient Cook Stoves,47097
561,GS1247 VPA 9 Improved Kitchen Regimes: Mareba (Bugesera) Rwanda,50682
562,GS1247 VPA 90 Southern Ethiopia Efficient Cook Stoves,46189
563,GS1247 VPA 91 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,35150
564,GS1247 VPA 92 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,38766
565,GS1247 VPA 93 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,38970
566,GS1247 VPA 94 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,24993
567,GS1247 VPA 95 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,34737
568,GS1247 VPA 96 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,17049
569,GS1247 VPA 97 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,17211
570,GS1247 VPA 98 Improved Kitchen Regimes Multi-Country PoA - Dowa Boreholes Malawi,16247
571,GS1247 VPA 99 Improved Kitchen Regimes Multi-Country PoA - Kasungu Boreholes Malawi,18904
572,GS1247 VPA189 Southern Ethiopia Efficient Cook Stoves,20621
573,GS1264: Native Clean Water Programme West Africa: VPA(01) Ghana,3450
574,GS1265 - African Biomass Energy Conservation POA - Malawi Biomass Conservation - Dowa District,108931
575,GS1265 - Rwanda Biomass Conservation - VPA (1) - African Biomass Energy Conservation POA,17149
576,GS1289: Native Hydraid BioSand Water Filter Programme East Africa: VPA (02) Ethiopia,5225
577,GS1290: Native Clean Water Central America: VPA (04) Honduras,89
578,GS1290: Native Clean Water Programme Central America: VPA (01) Honduras,27583
579,GS1299 India Organic Waste Management Programme-VPA01,162579
580,GS1309 Low cost irrigation devices programme in India-VPA 01,27868
581,GS1309 Low cost irrigation devices programme in India-VPA 02,25198
582,GS1309 Low cost irrigation devices programme in India-VPA 03,24949
583,GS1309 Low cost irrigation devices programme in India-VPA 04,25030
584,GS1309 Low cost irrigation devices programme in India-VPA 05,25181
585,GS1309 Low cost irrigation devices programme in India-VPA 06,20596
586,GS1340 Efficient cookstoves in Burkina Faso - VPA-01 - tiipaalga F3PA cookstoves in Bam and Loroum,21710
587,GS1340 Efficient cookstoves in Burkina Faso - VPA-02 - tiipaalga F3PA cookstoves in Bam and Loroum,29203
588,GS1340 Efficient cookstoves in Burkina Faso - VPA-03 - tiipaalga F3PA cookstoves in Bam and Loroum,24920
589,GS1340 Efficient cookstoves in Burkina Faso - VPA-04 - tiipaalga F3PA cookstoves in Bam and Loroum,13782
590,GS1340 Efficient cookstoves in Burkina Faso - VPA-05 - tiipaalga F3PA cookstoves in Bam and Loroum,24447
591,GS1340 Efficient cookstoves in Burkina Faso - VPA-06 - tiipaalga F3PA cookstoves in Bam and Loroum,11977
592,GS1340 Efficient cookstoves in Burkina Faso - VPA-07 - tiipaalga F3PA cookstoves in Bam and Loroum,26670
593,GS1340 Efficient cookstoves in Burkina Faso - VPA-08 - tiipaalga F3PA cookstoves in Bam and Loroum,27092
594,GS1340 Efficient cookstoves in Burkina Faso - VPA-09 - tiipaalga F3PA cookstoves in Bam and Loroum,40747
595,GS1340 Efficient cookstoves in Burkina Faso - VPA-10 - tiipaalga F3PA cookstoves in Bam and Loroum,44553
596,GS1340 Efficient cookstoves in Burkina Faso - VPA-14 - Improved Cookstove F3PA project in Nahouri ,18706
597,GS1340 Efficient cookstoves in Burkina Faso - VPA-16 - Improved Cookstove F3PA project in Nahouri,21152
598,GS1340 Efficient cookstoves in Burkina Faso - VPA-17 - Improved Cookstove F3PA project in Nahouri,21878
599,GS1340 Efficient cookstoves in Burkina Faso - VPA-29 - Improved Cookstove F3PA project in Nahouri,12230
600,GS1340 Efficient cookstoves in Burkina Faso â VPA-11 - tiipaalga F3PA cookstoves in KourwÃ©ogo,34518
601,GS1340 Efficient cookstoves in Burkina Faso â VPA-12 - tiipaalga F3PA cookstoves in KourwÃ©ogo,17966
602,GS1340 Efficient cookstoves in Burkina Faso â VPA-13 - tiipaalga F3PA cookstoves in KourwÃ©ogo,11672
603,GS1366 Micro Energy PoA VPA 2 West Cameroon Improved Cookstoves,2493
604,GS1366 Micro Energy PoA VPA 3 Wema Improved Cookstoves Kenya,4665
605,GS1366 Micro Energy PoA VPA 4 Mogotio Improved Cookstoves Kenya,4937
606,GS1366 Micro Energy PoA VPA 5 BioLite Improved Stove Programme India,30381
607,GS1366 VPA 10 Kilifi Borehole Rehabilitation Project ,9534
608,GS1366 VPA 11 Kilifi Borehole Rehabilitation Project ,6816
609,GS1366 VPA 12 Kilifi Borehole Rehabilitation Project ,7699
610,GS1366 VPA 13 Kilifi Borehole Rehabilitation Project ,7671
611,GS1366 VPA 14 Kilifi Borehole Rehabilitation Project ,7589
612,GS1366 VPA 15 Kilifi Borehole Rehabilitation Project ,7616
613,GS1366 VPA 7 Kilifi Borehole Rehabilitation Project,11055
614,GS1366 VPA 8 Kilifi Borehole Rehabilitation Project,10623
615,GS1366 VPA 9 Kilifi Borehole Rehabilitation Project,10395
616,GS1377 Utsil Naj - Casa saludable para todos VPA2,30111
617,GS1377 Utsil Naj - Casa saludable para todos VPA3,6648
618,GS1377 Utsil Naj - Casa saludable para todos VPA4,170705
619,GS1385 Man and Man Enterprise Improved Cooking Stoves Programme in Ghana - VPA001,1817076
620,GS1385 Man and Man Enterprise Improved Cooking Stoves Programme in Ghana - VPA002 (Western Region),25
621,GS1729 - Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 004,2465
622,GS1729 - Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 005,12992
623,GS1729 - Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 006,18137
624,GS1729 Myanmar Stoves Campaign - SLOW LIFE in Myanmar - VPA No. 001,9675
625,GS1729 Myanmar Stoves Campaign - SLOW LIFE in Myanmar - VPA No. 002,10370
626,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 007,25105
627,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 008,15817
628,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 009,20848
629,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 010,22122
630,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 011,19384
631,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 012,7597
632,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 013,18152
633,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 014,15566
634,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 015 by Soneva Foundation,12282
635,GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 016,12875
636,GS1729 Myanmar Stoves Campaign - Stoves for Myanmar - VPA No. 003,14698
637,GS2397 - GS1265 - African Biomass Energy Conservation POA - Rwanda Biomass Conservation (2),17639
638,GS2398 - GS1265 - African Biomass Energy Conservation POA - Rwanda Biomass Conservation (3),9525
639,GS2404 International Water Purification Programme - CPA 4 Water Kiosks in Cambodia,1400
640,"GS2444 ""GS1265"" African Biomass Energy Conservation PoA Malawi Biomass Conservation (2)",238601
641,GS2445  GS1265  African Biomass Energy Conservation PoA  Malawi Biomass Conservation (3),248498
642,GS2446 GS1265  African Biomass Energy Conservation PoA  Malawi Biomass Conservation (4),165436
643,GS2447 GS1265 African Biomass Energy Conservation PoA Malawi Biomass Conservation (5),155530
644,GS2449 GS1265 African Biomass Energy Conservation PoA Rwanda Biomass Conservation (4),8564
645,GS2489 Efficient cookstoves in Benin and Togo â VPA3 â EcoBenin â Women Soils and Energy,16435
646,GS2489 Efficient cookstoves in Benin and Togo â VPA4 â EcoBenin â Women Soils and Energy,3545
647,GS2489 â Efficient cookstoves in Benin and Togo â VPA2 â EcoBÃ©nin â Wanrou efficient cookstoves in Atacora/Donga region,22371
648,GS2504 - Voluntary Gold Standard multi-country improved cookstove PoA - Oserian Flower Farm Offset Project 1 - Inkoirienito and Oltepesi,30681
649,GS2504 - Voluntary Gold Standard multi-country improved cookstove PoA - Oserian Flower Farm Offset Project 2 - Suswa 1,14573
650,GS2504 - Voluntary Gold Standard multi-country improved cookstove PoA - Oserian Flower Farm Offset Project 3 - Suswa 2,14770
651,GS2504 - Voluntary Gold Standard multi-country improved cookstove PoA - Oserian Flower Farm Offset Project 4 - Ngondi,17088
652,GS2504 Voluntary Gold Standard Multi-country Improved Cookstove PoA-Flamingo Cookstove Project VPA5,5434
653,GS2527 - Mobisol Solar Home Systems in Tanzania â VPA 1,25342
654,GS3428 - Biogas PoA Switzerland - VPA1,20586
655,GS3434 UberlÃ¢ndia landfills I and II,652598
656,GS4424 VPA1 African Cookstoves and Water Programme,26284
657,GS4424 VPA2 African Cookstoves and Water Prorgamme,30320
658,GS4424 VPA3 African Cookstoves and Water Programme,31725
659,GS4424 VPA4 African Cookstoves and Water Programme,32084
660,GS4424 VPA5 African Cookstoves and Water Programme,33050
661,GS4503 - Sustainable Safe Water Program-Tulip Filters in Tanzania VPA 1,21540
662,GS5047 VPA1 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Burera I,24379
663,GS5047 VPA2 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Nyabihu I,30319
664,GS5047 VPA21 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project I,27743
665,GS5047 VPA22 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project II,30060
666,GS5047 VPA23 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project III,30063
667,GS5047 VPA24 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IV,27320
668,GS5047 VPA25 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project V,30219
669,GS5047 VPA26 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VI,24171
670,GS5047 VPA27 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VII,25802
671,GS5047 VPA28 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project VIII,25142
672,GS5047 VPA29 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project IX,29073
673,GS5047 VPA3 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project RubavuI,30187
674,GS5047 VPA30 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project X,27595
675,GS5047 VPA31 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XI,27571
676,GS5047 VPA32 African Improved Cookstoves and Clean Water Programme: Nyagatare Safe Water Project XII,29195
677,GS5047 VPA33 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project I,13178
678,GS5047 VPA34 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project II,13784
679,GS5047 VPA35 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project III,20378
680,GS5047 VPA36 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project IV,14376
681,GS5047 VPA37 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project V,8607
682,GS5047 VPA38 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project VI,4251
683,GS5047 VPA39 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project VII,5149
684,GS5047 VPA4 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Musanze I,30480
685,GS5047 VPA47 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project I,12575
686,GS5047 VPA48 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project II,9858
687,GS5047 VPA49 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project III,8685
688,GS5047 VPA5 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Burera II,9594
689,GS5047 VPA50 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project I,9191
690,GS5047 VPA51 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project II,6995
691,GS5047 VPA52 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project III,4489
692,GS5047 VPA59 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project IV,2585
693,GS5047 VPA6 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Nyabihu II,15659
694,GS5047 VPA60 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project V,1107
695,GS5047 VPA61 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project VI,724
696,GS5047 VPA62 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project VII,47
697,GS5047 VPA63 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project VIII,299
698,GS5047 VPA64 African Improved Cookstoves and Clean Water Programme: Ibanda â Makera Forest Cook Stove Project IX,836
699,GS5047 VPA7 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Musanze,15071
700,GS5047 VPA76 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project IV,6870
701,GS5047 VPA77 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project V,6010
702,GS5047 VPA78 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project VI,3667
703,GS5047 VPA79 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project VII,2145
704,GS5047 VPA8 African Improved Cookstoves and Clean Water Programme: Virunga Mountain Gorilla Cookstove Project Musanze II,19116
705,GS5047 VPA80 African Improved Cookstoves and Clean Water Programme: Gishwati â Mukura Forest Conservation Project VIII,2194
706,GS5304 MKOPA Solar Lighting Programme of Activities - Kenya VPA 1,146514
707,GS5304 MKOPA Solar Lighting Programme of Activities - Uganda VPA 2,40960
708,GS5304 MKOPA Solar Lighting Programme of Activities â Kenya VPA 4,35340
709,GS5382 Energy for Sustainable Development - Malawi 1,37892
710,GS5382 Energy for Sustainable Development â Malawi 2,36764
711,GS5658 VPA 10: Resilience with Safe drinking water in Drought Prone Areas of Bale Zone in Oromia (Ethiopia) phase II,18650
712,GS5658 VPA 11: Promoting energy efficiency & clean cooking in Pemba,2248
713,GS5658 VPA 12: Improved Cookstoves for Environmental Conservation in Southern Ethiopia,28120
