ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Crediting Period Start Date,Crediting Period End Date
5104,Clean & Sustainable Household Biogas Program for farmers in India by Amul,Amul Dairy,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AMS-I.E.; AMS-III.D.,Under validation,India,7471,Asia,01-10-2022,30-09-2029
5102,FX Group Biomass to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.; AMS-I.F.,Under validation,South Africa,19370,Africa,12-10-2022,11-10-2029
5097,Yunnan Zhenxiong Zhujiawan CMM Power Generation Project,"Zhenxiong Yonder New Energy Development Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,243241,Asia,13-05-2023,12-05-2033
5098,Grouped Solar Power Plant Project of Bestway Cement Ltd.,Project Team ATR Inc.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Pakistan,42272,Asia,01-10-2022,30-09-2032
5100,Guigang biomass wastes through use as feed stock in paper pulp production project,"Guangdong Guangye Inspection Testing Group CO., Ltd",Manufacturing industries; Waste handling and disposal,,VMR0009,Under development,China,131029,Asia,19-06-2023,18-06-2030
5096,Livelihood improvement by Shashwat agroforestry plantation through carbon Finance in Maharashtra,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,12586,Asia,01-07-2021,30-06-2041
5094,Energy Efficient Cookstove Project by Maniurja Climate Conserva,MANIURJA CLIMATE CONSERVA PRIVATE LIMITED,Energy demand,,VMR0006,Under validation,India,28120,Asia,28-09-2023,27-09-2033
5092,Zhiduo Sustainable Grassland Management Project,"Hangzhou Chaoteng Energy Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,110185,,05-05-2022,04-05-2062
5093,Pingnan MSW Incineration and Power Generation,"BEWG Environmental Protection Guangxi Pingnan Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,111570,Asia,07-07-2022,06-07-2029
5091,Therm- Reducing Food Loss and Waste,Therm Solutions Inc.,Waste handling and disposal,,VM0046,Under validation,United States,198678,North America,01-01-2022,31-12-2028
5090,Mount Kei Reforestation Project,Equatoria Forestry Company,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Uganda,32234,Africa,24-05-2023,23-05-2073
5087,KA'A PYAHU,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,297640,Latin America,01-05-2021,30-04-2041
5089,A-Gas South Africa 1,A-Gas South Africa,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,,VM0016,Under validation,South Africa,151984,Africa,16-05-2024,15-05-2034
5085,Tond Tenga,Tree Aid,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Burkina Faso,76269,Africa,31-07-2023,30-07-2063
5084,Gannan Improved Grassland Management Project,"Gannan Asset Investment Management Group Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,272468,Asia,20-05-2021,19-05-2061
5082,Safe Water Supply in Zambia,Offset Financial Holdings LLC,Energy demand,,AMS-III.AV.,Under validation,Zambia,24371,Africa,31-08-2022,30-08-2029
5077,SEIKOPAI REDD+,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Peru,219500,Latin America,16-06-2021,15-06-2061
5078,CTR Metropolitana Landfill Gas,ALAGOAS AMBIENTAL S/A,Waste handling and disposal,,ACM0001,Under validation,Brazil,95401,Latin America,10-08-2022,09-08-2029
5071,Mangrove afforestation and reforestation project in Cambodia,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; REDD,VM0033,Under validation,Cambodia,28650,Asia,,
5075,Liza Protect Forest,CARBON13 LTD,Agriculture Forestry and Other Land Use,ARR; REDD,VM0007,Under validation,Congo,207510,Africa,,
